tickpick_event_id,observed_at,low_price_usd
6250040,2026-05-08T20:31:23.544160+00:00,7901.0
6250051,2026-05-08T20:31:23.544160+00:00,885.0
6250092,2026-05-08T20:31:23.544160+00:00,2360.0
6250102,2026-05-08T20:31:23.544160+00:00,363.0
6250103,2026-05-08T20:31:23.544160+00:00,918.0
6250104,2026-05-08T20:31:23.544160+00:00,991.0
6250380,2026-05-08T20:31:23.544160+00:00,599.0
6250383,2026-05-08T20:31:23.544160+00:00,270.0
6250384,2026-05-08T20:31:23.544160+00:00,1323.0
6250385,2026-05-08T20:31:23.544160+00:00,202.0
6250387,2026-05-08T20:31:23.544160+00:00,700.0
6250389,2026-05-08T20:31:23.544160+00:00,391.0
6250390,2026-05-08T20:31:23.544160+00:00,668.0
6250394,2026-05-08T20:31:23.544160+00:00,279.0
6259475,2026-05-08T20:31:23.544160+00:00,325.0
6259476,2026-05-08T20:31:23.544160+00:00,262.0
6259477,2026-05-08T20:31:23.544160+00:00,1599.0
6259478,2026-05-08T20:31:23.544160+00:00,2727.0
6259536,2026-05-08T20:31:23.544160+00:00,418.0
6259537,2026-05-08T20:31:23.544160+00:00,197.0
6259538,2026-05-08T20:31:23.544160+00:00,497.0
6259539,2026-05-08T20:31:23.544160+00:00,242.0
6259540,2026-05-08T20:31:23.544160+00:00,188.0
6259541,2026-05-08T20:31:23.544160+00:00,431.0
6259542,2026-05-08T20:31:23.544160+00:00,651.0
6259543,2026-05-08T20:31:23.544160+00:00,486.0
6259544,2026-05-08T20:31:23.544160+00:00,327.0
6259546,2026-05-08T20:31:23.544160+00:00,723.0
6259547,2026-05-08T20:31:23.544160+00:00,468.0
6259548,2026-05-08T20:31:23.544160+00:00,819.0
6259549,2026-05-08T20:31:23.544160+00:00,2227.0
6259550,2026-05-08T20:31:23.544160+00:00,2425.0
6259551,2026-05-08T20:31:23.544160+00:00,1528.0
6259553,2026-05-08T20:31:23.544160+00:00,1688.0
6259555,2026-05-08T20:31:23.544160+00:00,283.0
6259556,2026-05-08T20:31:23.544160+00:00,723.0
6259558,2026-05-08T20:31:23.544160+00:00,768.0
6259559,2026-05-08T20:31:23.544160+00:00,775.0
6259570,2026-05-08T20:31:23.544160+00:00,895.0
6259571,2026-05-08T20:31:23.544160+00:00,390.0
6259572,2026-05-08T20:31:23.544160+00:00,180.0
6259573,2026-05-08T20:31:23.544160+00:00,445.0
6259574,2026-05-08T20:31:23.544160+00:00,961.0
6259581,2026-05-08T20:31:23.544160+00:00,639.0
6259583,2026-05-08T20:31:23.544160+00:00,483.0
6259584,2026-05-08T20:31:23.544160+00:00,850.0
6259585,2026-05-08T20:31:23.544160+00:00,783.0
6259586,2026-05-08T20:31:23.544160+00:00,578.0
6259587,2026-05-08T20:31:23.544160+00:00,1031.0
6259588,2026-05-08T20:31:23.544160+00:00,567.0
6259589,2026-05-08T20:31:23.544160+00:00,201.0
6259590,2026-05-08T20:31:23.544160+00:00,594.0
6259591,2026-05-08T20:31:23.544160+00:00,268.0
6259593,2026-05-08T20:31:23.544160+00:00,532.0
6259596,2026-05-08T20:31:23.544160+00:00,886.0
6259599,2026-05-08T20:31:23.544160+00:00,426.0
6259615,2026-05-08T20:31:23.544160+00:00,946.0
6259617,2026-05-08T20:31:23.544160+00:00,169.0
6259618,2026-05-08T20:31:23.544160+00:00,228.0
6259620,2026-05-08T20:31:23.544160+00:00,390.0
6259622,2026-05-08T20:31:23.544160+00:00,674.0
6259623,2026-05-08T20:31:23.544160+00:00,141.0
6259624,2026-05-08T20:31:23.544160+00:00,257.0
6259625,2026-05-08T20:31:23.544160+00:00,141.0
6259627,2026-05-08T20:31:23.544160+00:00,262.0
6259628,2026-05-08T20:31:23.544160+00:00,681.0
6259631,2026-05-08T20:31:23.544160+00:00,240.0
6259633,2026-05-08T20:31:23.544160+00:00,301.0
6259634,2026-05-08T20:31:23.544160+00:00,307.0
6259635,2026-05-08T20:31:23.544160+00:00,686.0
6259636,2026-05-08T20:31:23.544160+00:00,562.0
6259637,2026-05-08T20:31:23.544160+00:00,600.0
6259638,2026-05-08T20:31:23.544160+00:00,1607.0
6259639,2026-05-08T20:31:23.544160+00:00,1391.0
6259640,2026-05-08T20:31:23.544160+00:00,733.0
6259641,2026-05-08T20:31:23.544160+00:00,293.0
6259642,2026-05-08T20:31:23.544160+00:00,271.0
6259644,2026-05-08T20:31:23.544160+00:00,181.0
6259680,2026-05-08T20:31:23.544160+00:00,506.0
6259681,2026-05-08T20:31:23.544160+00:00,858.0
6259682,2026-05-08T20:31:23.544160+00:00,997.0
6259683,2026-05-08T20:31:23.544160+00:00,304.0
6259684,2026-05-08T20:31:23.544160+00:00,745.0
6259685,2026-05-08T20:31:23.544160+00:00,446.0
6259686,2026-05-08T20:31:23.544160+00:00,491.0
6259714,2026-05-08T20:31:23.544160+00:00,801.0
6259715,2026-05-08T20:31:23.544160+00:00,536.0
6259716,2026-05-08T20:31:23.544160+00:00,359.0
6259717,2026-05-08T20:31:23.544160+00:00,625.0
6259718,2026-05-08T20:31:23.544160+00:00,140.0
6259719,2026-05-08T20:31:23.544160+00:00,529.0
6259720,2026-05-08T20:31:23.544160+00:00,611.0
6259721,2026-05-08T20:31:23.544160+00:00,400.0
6259722,2026-05-08T20:31:23.544160+00:00,296.0
6259723,2026-05-08T20:31:23.544160+00:00,584.0
6259724,2026-05-08T20:31:23.544160+00:00,2591.0
6259725,2026-05-08T20:31:23.544160+00:00,621.0
6259726,2026-05-08T20:31:23.544160+00:00,1532.0
6259727,2026-05-08T20:31:23.544160+00:00,745.0
6259728,2026-05-08T20:31:23.544160+00:00,1241.0
6259729,2026-05-08T20:31:23.544160+00:00,936.0
6259730,2026-05-08T20:31:23.544160+00:00,1181.0
6250040,2026-05-08T20:38:46.853962+00:00,7901.0
6250051,2026-05-08T20:38:46.853962+00:00,885.0
6250092,2026-05-08T20:38:46.853962+00:00,2360.0
6250102,2026-05-08T20:38:46.853962+00:00,363.0
6250103,2026-05-08T20:38:46.853962+00:00,918.0
6250104,2026-05-08T20:38:46.853962+00:00,991.0
6250380,2026-05-08T20:38:46.853962+00:00,599.0
6250383,2026-05-08T20:38:46.853962+00:00,270.0
6250384,2026-05-08T20:38:46.853962+00:00,1323.0
6250385,2026-05-08T20:38:46.853962+00:00,202.0
6250387,2026-05-08T20:38:46.853962+00:00,700.0
6250389,2026-05-08T20:38:46.853962+00:00,391.0
6250390,2026-05-08T20:38:46.853962+00:00,668.0
6250394,2026-05-08T20:38:46.853962+00:00,279.0
6259475,2026-05-08T20:38:46.853962+00:00,325.0
6259476,2026-05-08T20:38:46.853962+00:00,262.0
6259477,2026-05-08T20:38:46.853962+00:00,1533.0
6259478,2026-05-08T20:38:46.853962+00:00,2727.0
6259536,2026-05-08T20:38:46.853962+00:00,418.0
6259537,2026-05-08T20:38:46.853962+00:00,197.0
6259538,2026-05-08T20:38:46.853962+00:00,497.0
6259539,2026-05-08T20:38:46.853962+00:00,242.0
6259540,2026-05-08T20:38:46.853962+00:00,182.0
6259541,2026-05-08T20:38:46.853962+00:00,431.0
6259542,2026-05-08T20:38:46.853962+00:00,651.0
6259543,2026-05-08T20:38:46.853962+00:00,486.0
6259544,2026-05-08T20:38:46.853962+00:00,327.0
6259546,2026-05-08T20:38:46.853962+00:00,723.0
6259547,2026-05-08T20:38:46.853962+00:00,468.0
6259548,2026-05-08T20:38:46.853962+00:00,819.0
6259549,2026-05-08T20:38:46.853962+00:00,2227.0
6259550,2026-05-08T20:38:46.853962+00:00,2425.0
6259551,2026-05-08T20:38:46.853962+00:00,1528.0
6259553,2026-05-08T20:38:46.853962+00:00,1688.0
6259555,2026-05-08T20:38:46.853962+00:00,283.0
6259556,2026-05-08T20:38:46.853962+00:00,723.0
6259558,2026-05-08T20:38:46.853962+00:00,768.0
6259559,2026-05-08T20:38:46.853962+00:00,750.0
6259570,2026-05-08T20:38:46.853962+00:00,895.0
6259571,2026-05-08T20:38:46.853962+00:00,390.0
6259572,2026-05-08T20:38:46.853962+00:00,180.0
6259573,2026-05-08T20:38:46.853962+00:00,445.0
6259574,2026-05-08T20:38:46.853962+00:00,892.0
6259581,2026-05-08T20:38:46.853962+00:00,639.0
6259583,2026-05-08T20:38:46.853962+00:00,483.0
6259584,2026-05-08T20:38:46.853962+00:00,850.0
6259585,2026-05-08T20:38:46.853962+00:00,783.0
6259586,2026-05-08T20:38:46.853962+00:00,578.0
6259587,2026-05-08T20:38:46.853962+00:00,1031.0
6259588,2026-05-08T20:38:46.853962+00:00,567.0
6259589,2026-05-08T20:38:46.853962+00:00,201.0
6259590,2026-05-08T20:38:46.853962+00:00,592.0
6259591,2026-05-08T20:38:46.853962+00:00,268.0
6259593,2026-05-08T20:38:46.853962+00:00,532.0
6259596,2026-05-08T20:38:46.853962+00:00,886.0
6259599,2026-05-08T20:38:46.853962+00:00,426.0
6259615,2026-05-08T20:38:46.853962+00:00,946.0
6259617,2026-05-08T20:38:46.853962+00:00,169.0
6259618,2026-05-08T20:38:46.853962+00:00,228.0
6259620,2026-05-08T20:38:46.853962+00:00,390.0
6259622,2026-05-08T20:38:46.853962+00:00,674.0
6259623,2026-05-08T20:38:46.853962+00:00,141.0
6259624,2026-05-08T20:38:46.853962+00:00,257.0
6259625,2026-05-08T20:38:46.853962+00:00,141.0
6259627,2026-05-08T20:38:46.853962+00:00,262.0
6259628,2026-05-08T20:38:46.853962+00:00,681.0
6259631,2026-05-08T20:38:46.853962+00:00,240.0
6259633,2026-05-08T20:38:46.853962+00:00,301.0
6259634,2026-05-08T20:38:46.853962+00:00,307.0
6259635,2026-05-08T20:38:46.853962+00:00,686.0
6259636,2026-05-08T20:38:46.853962+00:00,562.0
6259637,2026-05-08T20:38:46.853962+00:00,600.0
6259638,2026-05-08T20:38:46.853962+00:00,1607.0
6259639,2026-05-08T20:38:46.853962+00:00,1391.0
6259640,2026-05-08T20:38:46.853962+00:00,733.0
6259641,2026-05-08T20:38:46.853962+00:00,293.0
6259642,2026-05-08T20:38:46.853962+00:00,271.0
6259644,2026-05-08T20:38:46.853962+00:00,181.0
6259680,2026-05-08T20:38:46.853962+00:00,506.0
6259681,2026-05-08T20:38:46.853962+00:00,858.0
6259682,2026-05-08T20:38:46.853962+00:00,997.0
6259683,2026-05-08T20:38:46.853962+00:00,304.0
6259684,2026-05-08T20:38:46.853962+00:00,745.0
6259685,2026-05-08T20:38:46.853962+00:00,446.0
6259686,2026-05-08T20:38:46.853962+00:00,491.0
6259714,2026-05-08T20:38:46.853962+00:00,801.0
6259715,2026-05-08T20:38:46.853962+00:00,517.0
6259716,2026-05-08T20:38:46.853962+00:00,359.0
6259717,2026-05-08T20:38:46.853962+00:00,625.0
6259718,2026-05-08T20:38:46.853962+00:00,140.0
6259719,2026-05-08T20:38:46.853962+00:00,529.0
6259720,2026-05-08T20:38:46.853962+00:00,611.0
6259721,2026-05-08T20:38:46.853962+00:00,400.0
6259722,2026-05-08T20:38:46.853962+00:00,296.0
6259723,2026-05-08T20:38:46.853962+00:00,584.0
6259724,2026-05-08T20:38:46.853962+00:00,2591.0
6259725,2026-05-08T20:38:46.853962+00:00,621.0
6259726,2026-05-08T20:38:46.853962+00:00,1532.0
6259727,2026-05-08T20:38:46.853962+00:00,745.0
6259728,2026-05-08T20:38:46.853962+00:00,1241.0
6259729,2026-05-08T20:38:46.853962+00:00,936.0
6259730,2026-05-08T20:38:46.853962+00:00,1181.0
6250040,2026-05-08T22:14:18.769830+00:00,8334.0
6250051,2026-05-08T22:14:18.769830+00:00,885.0
6250092,2026-05-08T22:14:18.769830+00:00,2360.0
6250102,2026-05-08T22:14:18.769830+00:00,363.0
6250103,2026-05-08T22:14:18.769830+00:00,918.0
6250104,2026-05-08T22:14:18.769830+00:00,991.0
6250380,2026-05-08T22:14:18.769830+00:00,599.0
6250383,2026-05-08T22:14:18.769830+00:00,268.0
6250384,2026-05-08T22:14:18.769830+00:00,1249.0
6250385,2026-05-08T22:14:18.769830+00:00,203.0
6250387,2026-05-08T22:14:18.769830+00:00,700.0
6250389,2026-05-08T22:14:18.769830+00:00,391.0
6250390,2026-05-08T22:14:18.769830+00:00,668.0
6250394,2026-05-08T22:14:18.769830+00:00,272.0
6259475,2026-05-08T22:14:18.769830+00:00,325.0
6259476,2026-05-08T22:14:18.769830+00:00,263.0
6259477,2026-05-08T22:14:18.769830+00:00,1533.0
6259478,2026-05-08T22:14:18.769830+00:00,2727.0
6259536,2026-05-08T22:14:18.769830+00:00,418.0
6259537,2026-05-08T22:14:18.769830+00:00,197.0
6259538,2026-05-08T22:14:18.769830+00:00,497.0
6259539,2026-05-08T22:14:18.769830+00:00,235.0
6259540,2026-05-08T22:14:18.769830+00:00,183.0
6259541,2026-05-08T22:14:18.769830+00:00,431.0
6259542,2026-05-08T22:14:18.769830+00:00,651.0
6259543,2026-05-08T22:14:18.769830+00:00,486.0
6259544,2026-05-08T22:14:18.769830+00:00,312.0
6259546,2026-05-08T22:14:18.769830+00:00,718.0
6259547,2026-05-08T22:14:18.769830+00:00,456.0
6259548,2026-05-08T22:14:18.769830+00:00,807.0
6259549,2026-05-08T22:14:18.769830+00:00,2227.0
6259550,2026-05-08T22:14:18.769830+00:00,2414.0
6259551,2026-05-08T22:14:18.769830+00:00,1528.0
6259553,2026-05-08T22:14:18.769830+00:00,1688.0
6259555,2026-05-08T22:14:18.769830+00:00,283.0
6259556,2026-05-08T22:14:18.769830+00:00,723.0
6259558,2026-05-08T22:14:18.769830+00:00,768.0
6259559,2026-05-08T22:14:18.769830+00:00,735.0
6259570,2026-05-08T22:14:18.769830+00:00,895.0
6259571,2026-05-08T22:14:18.769830+00:00,390.0
6259572,2026-05-08T22:14:18.769830+00:00,180.0
6259573,2026-05-08T22:14:18.769830+00:00,441.0
6259574,2026-05-08T22:14:18.769830+00:00,892.0
6259581,2026-05-08T22:14:18.769830+00:00,639.0
6259583,2026-05-08T22:14:18.769830+00:00,483.0
6259584,2026-05-08T22:14:18.769830+00:00,850.0
6259585,2026-05-08T22:14:18.769830+00:00,783.0
6259586,2026-05-08T22:14:18.769830+00:00,578.0
6259587,2026-05-08T22:14:18.769830+00:00,970.0
6259588,2026-05-08T22:14:18.769830+00:00,567.0
6259589,2026-05-08T22:14:18.769830+00:00,201.0
6259590,2026-05-08T22:14:18.769830+00:00,592.0
6259591,2026-05-08T22:14:18.769830+00:00,268.0
6259593,2026-05-08T22:14:18.769830+00:00,523.0
6259596,2026-05-08T22:14:18.769830+00:00,886.0
6259599,2026-05-08T22:14:18.769830+00:00,426.0
6259615,2026-05-08T22:14:18.769830+00:00,947.0
6259617,2026-05-08T22:14:18.769830+00:00,169.0
6259618,2026-05-08T22:14:18.769830+00:00,228.0
6259620,2026-05-08T22:14:18.769830+00:00,382.0
6259622,2026-05-08T22:14:18.769830+00:00,629.0
6259623,2026-05-08T22:14:18.769830+00:00,141.0
6259624,2026-05-08T22:14:18.769830+00:00,257.0
6259625,2026-05-08T22:14:18.769830+00:00,141.0
6259627,2026-05-08T22:14:18.769830+00:00,252.0
6259628,2026-05-08T22:14:18.769830+00:00,655.0
6259631,2026-05-08T22:14:18.769830+00:00,251.0
6259633,2026-05-08T22:14:18.769830+00:00,301.0
6259634,2026-05-08T22:14:18.769830+00:00,307.0
6259635,2026-05-08T22:14:18.769830+00:00,686.0
6259636,2026-05-08T22:14:18.769830+00:00,562.0
6259637,2026-05-08T22:14:18.769830+00:00,600.0
6259638,2026-05-08T22:14:18.769830+00:00,1607.0
6259639,2026-05-08T22:14:18.769830+00:00,1391.0
6259640,2026-05-08T22:14:18.769830+00:00,685.0
6259641,2026-05-08T22:14:18.769830+00:00,293.0
6259642,2026-05-08T22:14:18.769830+00:00,271.0
6259644,2026-05-08T22:14:18.769830+00:00,181.0
6259680,2026-05-08T22:14:18.769830+00:00,506.0
6259681,2026-05-08T22:14:18.769830+00:00,754.0
6259682,2026-05-08T22:14:18.769830+00:00,997.0
6259683,2026-05-08T22:14:18.769830+00:00,304.0
6259684,2026-05-08T22:14:18.769830+00:00,782.0
6259685,2026-05-08T22:14:18.769830+00:00,446.0
6259686,2026-05-08T22:14:18.769830+00:00,491.0
6259714,2026-05-08T22:14:18.769830+00:00,779.0
6259715,2026-05-08T22:14:18.769830+00:00,536.0
6259716,2026-05-08T22:14:18.769830+00:00,359.0
6259717,2026-05-08T22:14:18.769830+00:00,625.0
6259718,2026-05-08T22:14:18.769830+00:00,140.0
6259719,2026-05-08T22:14:18.769830+00:00,529.0
6259720,2026-05-08T22:14:18.769830+00:00,584.0
6259721,2026-05-08T22:14:18.769830+00:00,400.0
6259722,2026-05-08T22:14:18.769830+00:00,296.0
6259723,2026-05-08T22:14:18.769830+00:00,584.0
6259724,2026-05-08T22:14:18.769830+00:00,2591.0
6259725,2026-05-08T22:14:18.769830+00:00,621.0
6259726,2026-05-08T22:14:18.769830+00:00,1532.0
6259727,2026-05-08T22:14:18.769830+00:00,760.0
6259728,2026-05-08T22:14:18.769830+00:00,1239.0
6259729,2026-05-08T22:14:18.769830+00:00,936.0
6259730,2026-05-08T22:14:18.769830+00:00,1179.0
6250040,2026-05-08T23:14:28.858215+00:00,8334.0
6250051,2026-05-08T23:14:28.858215+00:00,885.0
6250092,2026-05-08T23:14:28.858215+00:00,2360.0
6250102,2026-05-08T23:14:28.858215+00:00,363.0
6250103,2026-05-08T23:14:28.858215+00:00,918.0
6250104,2026-05-08T23:14:28.858215+00:00,991.0
6250380,2026-05-08T23:14:28.858215+00:00,590.0
6250383,2026-05-08T23:14:28.858215+00:00,248.0
6250384,2026-05-08T23:14:28.858215+00:00,1249.0
6250385,2026-05-08T23:14:28.858215+00:00,203.0
6250387,2026-05-08T23:14:28.858215+00:00,700.0
6250389,2026-05-08T23:14:28.858215+00:00,391.0
6250390,2026-05-08T23:14:28.858215+00:00,668.0
6250394,2026-05-08T23:14:28.858215+00:00,271.0
6259475,2026-05-08T23:14:28.858215+00:00,325.0
6259476,2026-05-08T23:14:28.858215+00:00,263.0
6259477,2026-05-08T23:14:28.858215+00:00,1533.0
6259478,2026-05-08T23:14:28.858215+00:00,2727.0
6259536,2026-05-08T23:14:28.858215+00:00,418.0
6259537,2026-05-08T23:14:28.858215+00:00,197.0
6259538,2026-05-08T23:14:28.858215+00:00,497.0
6259539,2026-05-08T23:14:28.858215+00:00,235.0
6259540,2026-05-08T23:14:28.858215+00:00,183.0
6259541,2026-05-08T23:14:28.858215+00:00,431.0
6259542,2026-05-08T23:14:28.858215+00:00,651.0
6259543,2026-05-08T23:14:28.858215+00:00,486.0
6259544,2026-05-08T23:14:28.858215+00:00,327.0
6259546,2026-05-08T23:14:28.858215+00:00,718.0
6259547,2026-05-08T23:14:28.858215+00:00,456.0
6259548,2026-05-08T23:14:28.858215+00:00,807.0
6259549,2026-05-08T23:14:28.858215+00:00,2227.0
6259550,2026-05-08T23:14:28.858215+00:00,2414.0
6259551,2026-05-08T23:14:28.858215+00:00,1528.0
